artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp
29,annurevisoci,34,1,2008,6,15-31,7,14,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

30,annurevisoci,34,1,2008,6,33-53,2,2,1,2,3,99,99,0.0,0.0,99,0.0212765957447,0.0187881050143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,2,3,3

31,annurevisoci,34,1,2008,6,55-85,6,20,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

32,annurevisoci,34,1,2008,6,87-105,5,13,2,2,4,99,99,0.0,0.0,0.153846153846,0.0434782608696,0.0837645954351,0.0,0.0,0.0833333333333,0.25,0.0,0.0,0.25,0.25,99,99,1.0,2,2,3,3

33,annurevisoci,34,1,2008,6,107-126,4,10,1,1,2,99,99,99,0.0,99,99,0.181818181818,0.0,0.0,1.5,3.0,0.0,0.0,1.5,1.5,99,99,0.0,1,1,1,1

34,annurevisoci,34,1,2008,6,127-151,10,19,3,14,17,0.0,0.292857142857,0.344257703081,0.0,0.303841134988,0.0831534101457,0.0840730167672,0.166666666667,0.197802197802,0.154411764706,0.119047619048,0.333333333333,2.57142857143,2.47058823529,0.294117647059,1.0,0.194444444444,0.309523809524,2,6,7,13

35,annurevisoci,34,1,2008,6,153-179,16,26,3,1,4,0.0,99,0.0,0.0,0.444444444444,99,0.343915343915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,3,1,4,4

36,annurevisoci,34,1,2008,6,181-209,15,40,2,4,6,99,0.0,0.0,0.0,0.108108108108,0.0438364056175,0.0671565817375,0.0,0.166666666667,0.3,0.875,0.0,0.5,1.5,1.16666666667,99,1.0,0.222222222222,2,2,3,5

37,annurevisoci,34,1,2008,6,211-235,27,47,3,2,5,0.0,99,0.0,0.0,0.555555555556,0.380952380952,0.35028024607,0.0,0.5,0.1,0.166666666667,0.0,0.5,0.4,0.2,99,1.0,1.0,3,1,3,4

38,annurevisoci,34,1,2008,6,237-255,6,8,1,2,3,99,99,0.0,0.0,99,0.0131578947368,0.00438596491228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,2,3,3

39,annurevisoci,34,1,2008,6,257-276,28,46,2,0,2,99,99,99,0.0,0.0754716981132,99,0.0754716981132,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,99,1.0,1,0,1,2

40,annurevisoci,34,1,2008,6,277-297,10,11,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

41,annurevisoci,34,1,2008,6,299-318,10,14,2,4,6,99,0.0,0.0,0.0,0.093023255814,0.122407128094,0.0895836260396,0.0,0.25,0.1,0.0,0.0,0.75,0.5,0.0,99,0.0,0.0,2,3,5,6

42,annurevisoci,34,1,2008,6,319-337,22,34,3,0,3,0.0,99,0.0,0.0,0.067409658899,99,0.067409658899,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,99,0.0,2,0,2,3

