egoname,author,num_acknowledged,num_authored,indegree,outdegree,total_coauthors,unique_coauthors,citation,z_score,mentor_index,avg_coauth_per_article,log_citation,log_ack,log_coauthor,log_z,ack_sq,N_only_coauth,N_only_ack
Victor Nee,Victor Nee,6,2,9,1,2,2,187.0,-0.0787412203147531,0.0,1.0,5.236441962829949,1.9459101490553132,1.0986122886681098,-0.08201430533648904,36,2.0,1.0
Johan Ormel,Johan Ormel,0,1,0,0,4,4,30.0,-0.08615302893152314,0.0,4.0,3.4339872044851463,0.0,1.6094379124341003,-0.09009214926058594,0,4.0,0.0
Craig Calhoun,Craig Calhoun,10,1,13,0,0,0,2.0,0.21898508518750884,0.0,0.0,1.0986122886681098,2.3978952727983707,0.0,0.19801861513922028,100,,
Catherine E. Ross,Catherine E. Ross,4,4,8,7,6,5,411.0,-0.23451214098286208,1.8,1.5,6.021023349349527,1.6094379124341003,1.791759469228055,-0.2672419242098621,16,3.0,5.0
Elisabeth O. Burgess,Elisabeth O. Burgess,1,1,4,1,1,1,16.0,-0.0025001812509817365,0.0,1.0,2.833213344056216,0.6931471805599453,0.6931471805599453,-0.002503311923379887,1,1.0,1.0
Jennifer Glass,Jennifer Glass,4,2,5,0,2,2,118.0,-0.3655820159789016,0.0,1.0,4.77912349311153,1.6094379124341003,1.0986122886681098,-0.45504726098464354,16,2.0,0.0
Eric Plutzer,Eric Plutzer,2,1,4,0,0,0,5.0,-0.24424974975527478,0.0,0.0,1.791759469228055,1.0986122886681098,0.0,-0.28004431420158543,4,,
Roseann Giarrusso,Roseann Giarrusso,2,1,2,0,3,3,195.0,-0.6283859869386529,-1.0,3.0,5.278114659230517,1.0986122886681098,1.3862943611198906,-0.9898995626852496,4,3.0,0.0
Guang Guo,Guang Guo,20,8,27,6,13,12,828.0,0.08413468831051678,3.91666666667,1.625,6.720220155135295,3.044522437723423,2.5649493574615367,0.08078214650787617,400,10.0,4.0
Kazuo Yamaguchi,Kazuo Yamaguchi,4,6,5,5,1,1,59.0,-0.033775557345365505,5.0,0.16666666666666666,4.0943445622221,1.6094379124341003,0.6931471805599453,-0.034359129464327114,16,1.0,5.0
Thorolfur Thorlindsson,Þórólfur Þórlindsson,0,2,0,0,5,4,44.0,-0.038352079002210805,-0.5,2.5,3.8066624897703196,0.0,1.6094379124341003,-0.03910688179461548,0,,
D. Paul Sullins,D. Paul Sullins,0,1,0,0,0,0,88.0,-0.11563949817967309,0.0,0.0,4.48863636973214,0.0,0.0,-0.12289049198630993,0,,
Richard Lachmann,Richard Lachmann,6,1,8,3,0,0,13.0,0.4625049064346385,0.0,0.0,2.6390573296152584,1.9459101490553132,0.0,0.38015065494535033,36,0.0,3.0
Cedric Herring,Cedric Herring,0,1,0,5,0,0,292.0,0.01481504256773112,0.0,0.0,5.680172609017068,0.0,0.0,0.014706371817726495,0,0.0,5.0
Gerald Marwell,Gerald Marwell,5,1,6,0,1,1,70.0,-0.182332994598055,-1.0,1.0,4.2626798770413155,1.791759469228055,0.6931471805599453,-0.20130010912122157,25,1.0,0.0
Hui Liu,Hui Liu,0,2,0,5,4,4,64.0,-0.15669426207523582,-2.25,2.0,4.174387269895637,0.0,1.6094379124341003,-0.1704257082923944,0,2.0,3.0
Matt DeLisi,Matt DeLisi,0,1,0,2,3,3,56.0,-0.12410471693021334,0.0,3.0,4.04305126783455,0.0,1.3862943611198906,-0.13250873506587865,0,3.0,2.0
David R. Schaefer,David R. Schaefer,0,5,0,3,7,3,146.0,-0.13218292751386512,-1.0,1.4,4.990432586778736,0.0,1.3862943611198906,-0.1417743325155578,0,2.0,2.0
John Robert Warren,John Robert Warren,5,11,7,13,13,11,195.0,-0.01527523659348419,8.36363636364,1.1818181818181819,5.278114659230517,1.791759469228055,2.4849066497880004,-0.015393104871019227,25,7.0,9.0
Pietro Panzarasa,Pietro Panzarasa,0,1,0,4,1,1,408.0,-0.20101973361201855,0.0,1.0,6.013715156042802,0.0,0.6931471805599453,-0.22441903140824265,0,1.0,4.0
Fatima Varner,Fatima Varner,0,1,0,0,3,3,7.0,0.004734596276490626,0.0,3.0,2.0794415416798357,0.0,1.3862943611198906,0.004723423327927789,0,3.0,0.0
James E. Stobaugh,James E. Stobaugh,0,1,0,12,3,3,61.0,-0.28857890389657975,-2.0,3.0,4.127134385045092,0.0,1.3862943611198906,-0.340490765559108,0,3.0,12.0
Rick Grannis,Rick Grannis,0,2,0,0,0,0,38.0,-0.13156849308590374,0.0,0.0,3.6635616461296463,0.0,0.0,-0.14106656006764795,0,,
Catherine Delsol,Catherine Delsol,0,1,0,0,2,2,38.0,-0.12396704622300067,0.0,2.0,3.6635616461296463,0.0,1.0986122886681098,-0.13235157028640818,0,2.0,0.0
Marsha Kline Pruett,Marsha Kline Pruett,0,1,0,0,4,4,181.0,0.5964260429464331,0.0,4.0,5.204006687076795,0.0,1.6094379124341003,0.46776740760637875,0,4.0,0.0
Ross L. Matsueda,Ross L. Matsueda,10,2,13,2,3,3,215.0,-0.11983797253714067,-1.33333333333,1.5,5.375278407684165,2.3978952727983707,1.3862943611198906,-0.1276492663413959,100,3.0,2.0
Clayton Kleparchuk,Clayton Kleparchuk,0,1,0,0,3,3,27.0,-0.024787457112201424,-0.666666666667,3.0,3.332204510175204,0.0,1.3862943611198906,-0.02509983903581275,0,3.0,0.0
Jeremy Staff,Jeremy Staff,1,3,2,10,3,3,73.0,-0.6848398840677156,-1.66666666667,1.0,4.30406509320417,0.6931471805599453,1.3862943611198906,-1.1546744647525646,1,2.0,9.0
Tamara Kay,Tamara Kay,1,3,2,15,2,2,91.0,0.7024662105865009,1.5,0.6666666666666666,4.5217885770490405,0.6931471805599453,1.0986122886681098,0.5320779119056644,1,1.0,14.0
Jeffrey K. Beemer,Jeffrey K. Beemer,0,1,0,1,0,0,2.0,-0.0025001812509817365,0.0,0.0,1.0986122886681098,0.0,0.0,-0.002503311923379887,0,0.0,1.0
Jane D. McLeod,Jane D. McLeod,3,3,4,4,3,3,367.0,-0.0613709419766224,0.666666666667,1.0,5.908082938168931,1.3862943611198906,1.3862943611198906,-0.06333491720120964,9,3.0,4.0
Matt George,Matt George,2,1,1,1,1,1,38.0,0.008710610555717438,-7.0,1.0,3.6635616461296463,1.0986122886681098,0.6931471805599453,0.008672892063396782,4,1.0,1.0
Sandra Gonzalez Bailon,,0,1,0,3,0,0,36.0,-0.035928209478294934,0.0,0.0,3.6109179126442243,0.0,0.0,-0.03658951564891092,0,,
Shirley A. Hill,Shirley A. Hill,0,1,0,0,0,0,7.0,-0.13346538227548022,0.0,0.0,2.0794415416798357,0.0,0.0,-0.14325321941328736,0,,
Florencia Torche,Florencia Torche,4,3,7,8,1,1,260.0,-0.0857080652551218,2.0,0.3333333333333333,5.564520407322694,1.6094379124341003,0.6931471805599453,-0.08960535508562116,16,1.0,8.0
L Philip Schumm,,1,1,1,1,2,2,340.0,-0.1241705526230102,-2.5,2.0,5.831882477283517,0.6931471805599453,1.0986122886681098,-0.13258390177635954,1,,
Tamara D. Afifi,Tamara D. Afifi,0,1,0,0,1,1,159.0,-0.03387072513312094,-22.0,1.0,5.075173815233827,0.0,0.6931471805599453,-0.03445762880942056,0,1.0,0.0
Elizabeth Glennie,Elizabeth Glennie,0,2,0,1,2,2,10.0,0.10222644625231106,-2.0,1.0,2.3978952727983707,0.0,1.0986122886681098,0.09733217623858172,0,1.0,0.0
Xiaogang Wu,Xiaogang Wu,0,4,0,8,3,3,87.0,-0.3516057718843938,-2.0,0.75,4.477336814478207,0.0,1.3862943611198906,-0.43325639089434187,0,1.0,6.0
Toon Kuppens,Toon Kuppens,0,1,0,0,3,3,166.0,-0.11145362796777204,-0.333333333333,3.0,5.117993812416755,0.0,1.3862943611198906,-0.11816844137937238,0,3.0,0.0
Igor Ryabov,Igor Ryabov,0,1,0,0,1,1,39.0,-0.027132147002378783,-10.0,1.0,3.6888794541139363,0.0,0.6931471805599453,-0.02750701999951999,0,1.0,0.0
Barbara Entwisle,Barbara Entwisle,68,3,106,11,6,6,156.0,-0.506708032489868,-0.5,2.0,5.056245805348308,4.23410650459726,1.9459101490553132,-0.7066540540492879,4624,3.0,8.0
